caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,LIMAS,P3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P6_1,P6_2,P6_3,P6_4,P6_5,P7_1_1,P7_1_2,P7_1_3,P7_2_1,P7_2_2,P7_2_3,P7_2_4,P7_3_1,P7_3_2,P7_3_3,P7_3_4,P7_4_1,P7_4_2,P7_4_3,P7_5_1,P7_5_2,P7_5_3,P7_5_4,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P9,P10,P11,P12_1_1,P12_1_2,P12_2_1,P12_2_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P15_1,P15_2,P15_3,P15_4,P15_5,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P16_9,P16_10,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22_1,P23_1,P23_2,P23_3,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P28_1,P28_2,P28_3,P28_4,P28_5,P28_6,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P29_7,P29_8,P30_1,P30_2,P30_3,P30_4,P30_5,P30_6,P30_7,P30_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2
56,2,1,20,5,5,C1,2,49,5,3,1,3, , , , ,2, , , , , , , ,1, , , ,6, , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,21, , , , ,6,9,1,7,3,11,5,2,1, , , , ,4,12,1, , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,4,1,12,2, , ,1, , , ,10, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,5, , , , , , , ,5, , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,500, , , , , , , , ,2, , , , ,67,1,1.0297724,1
57,2,1,42,4,6,C2,1,42,4,2,1,2,3, , , ,2, , , , , , , ,6, , , ,3,6, , , , , , , , , , , , , ,1, , , , , ,1,1,3, , ,1, , , , , , ,9,11,5,10,1,6,4,2,16, , , , ,10, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,10, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,4,5, , , , , , ,5, , , , , , , , ,8,8, , , , , , ,5,5, , , ,4,5, , , , , , , , ,14,48, , , , , , , , , , ,250,120, , , , , , , ,1,1, , , , ,68,1,1.28649606,1.12
58,2,1,39,4,5,C1,2,42,4,2,1,1,2,3, , ,2, , , , ,1, , ,2, , , ,11, , , , , , , , , , , , , , ,8, , , , , ,7,7,4, , , , ,8,11, , , ,7,8,4,11,6,1,2,13,4,17, , , ,1,4,17, , , , , , , ,1,4, , , , ,4,11, , ,11, , , , , , , , , , ,1,4,18,98, , ,1,7, , ,1, , , ,1, , , ,1, , , ,1, , , , ,1,7, , ,9, , , , , ,1,7, , ,1,7, , ,1,7, , ,1,7, , , , ,1,7, , ,1,1, , , , ,3,5,7, , , , , ,5,7, , , , , , ,9, ,7, ,10, , , ,5, ,4, ,5, ,5,7, , , , , , , , , ,2, , ,52, , , , , , , , ,1000, ,380, , , , , , ,1, ,1, , ,69,1,1.28649606,1.12
59,2,1,42,4,7,D,2,42,4,2,1,1,2,3, , ,1,2,3, , ,1, , ,1, , , ,1,6, , , , , , , , , , , , , ,1,2,8, , , ,7,2,5, , , , ,3, , , , ,1,5,7,11,6,2,8,3,18, , , , ,7,8,12, , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,8,16, , , ,9, , , ,9, , , ,9, , , ,8, , , ,8, , , , ,9, , , ,9, , , , , ,9, , , ,8, , , ,9, , , ,8, , , , , ,9, , , ,2, , , , , ,4,8, , , , , , ,4, , , , , , , , ,10,10, , ,6, , , ,3,1, , ,7,4,8, , , , , , , , ,18, , , , , , ,136, , , , ,1000, , , ,120, , , , ,1, , , ,1, ,70,1,.77236257,.85
60,2,1,32,3,5,C1,2,1,1,3,1,2,3, , , ,2,3,5, , , , , ,1,2, , ,2, , , , , , ,2, , , , , , , ,2, , , , , ,2,2,4, , , , ,9,18, , , ,12,11,9,7,4,6,3,8,1, , , , ,1,2,10, , , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,10,1,2,98, , ,1,6, , ,1, , , ,2, , , ,1, , , ,1, , , , ,8, , , ,9, , , , , ,1, , , ,1, , , ,8, , , ,1,2, , , , ,9, , , ,1,1,14, , , ,3,4,8, , , , , ,4, , , , , , , ,6,7, , , ,8, , ,5,3, , , ,5,4, , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , , ,71,1,1.18347052,1.23076923
61,2,1,28,3,7,D,2,33,4,1,1,3, , , , ,3, , , , , , , , , , , ,1,2, , , , , , , , , , , , , ,1,3, , , , ,1,1,4, , , , ,2,6, , , ,5,10,3,9,4,2,1,13,21,4, , , ,4,7,21, , , , , , , ,16, , , , , ,14, , , , , , , , , , , , , ,6,7,4,16, , , ,5,6, , ,9, , , ,5, , , ,7, , , ,9, , , , ,5,6, , ,5, , , , , ,5,7, , ,5,6,7, ,9, , , ,5,6, , , , ,9, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,7, , , , , , , ,4, , , ,5, , , , , , , , , , ,13, , , , , , , , , , , ,1000, , , , , , , , ,1 botella, , , , ,72,1,.77236257,.85
62,2,1,41,4,3,B1,2,14,1,5,1,1,2,3,4,5,1,2,3, , ,1, , ,1,2, , ,1, , , ,1, , ,1,2, , , , , , ,2,5, , , , ,2,2,5, , , , ,5,12, , , ,11,9,2,5,1,8,4,3,17,3,4,31, ,1,3,4,6,7,8,12,13,31,17,1,3,4,7,12,13,4,11, ,11,11, , ,10, , , , ,11,10, ,1,1,16, , , ,1,3, , ,1,3,4,6,1,3,6, ,1,4,5, ,10, , , , ,8, , , ,1,2,3,4,5,6,3,6, , ,3,4,6, ,3,4,6, ,1,2,3,4,5,6,3,6, , ,1,1, , , , ,1,5,7, , , , , ,5,7, , , , ,7, , , ,7, ,8, ,5, , , ,4, ,4, ,1,2,5, , , ,2,2, , , ,25, , , , , , , ,100,1000, , ,900, , , , ,1,1, , ,1, , , , ,73,1,.84784707,1.05555556
63,2,1,38,4,7,D,2,42,4,3,1,3, , , , ,3, , , , , , , , , , , ,1,2, , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,2,6, , , ,1,3,6,11,2,4,13,12,1, , , , ,1, , , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,14,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1,16, , , ,5, , , , , , , ,5, , , , , , , , , ,9, , , , , , , ,3, , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,74,1,.77236257,.85
64,2,1,41,4,7,D,2,33,4,2,1,2,3,5, , ,2, , , , , , , ,1,2, , ,2, , , , , , ,1,2, , , , , , ,2,3,5, , , ,5,2,4, , , , ,7,8, , , ,3,5,6,9,13,12,4,11,7, , , , ,4,41,7, , , , , , , ,4,7, , , , ,7, , , ,9, , ,9, , , , , , , ,4,4,16, , , ,5, , , ,5, , , ,7, , , ,7, , , ,5, , , , ,7, , , ,7, , , , , ,5, , , ,5, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,7, , , , , , , ,3, , , ,5, , , , , , , , , , ,25, , , , , , , , , , , ,9001100, , , , , , , , ,2, , , , ,75,1,.77236257,.85
65,2,1,26,3,2,A2,1,22,1,1,1,1,2,3,5, ,2,3, , , ,1, , ,1,2, , ,1,2,3, , , , ,2, , , , , , , ,2, , , , , ,2,2,5, , , , ,10,11, , , ,12,11,5,3,8,9,4,2,17, , , , ,17, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,7, , , ,7, , , ,7, , , ,7, , , ,7, , , , ,7, , , ,7, , , , , ,7, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,4,5,7, , , , , ,5, , , , , , , , ,7,8, ,10, , , , ,6,4, ,5, ,5, , , , , , , , , , ,37, , , , , , , , , , , ,500, , , , , , , , ,1, , , , ,76,1,.71410697,.86666667
66,2,1,46,5,6,C2,2,32,2,2,1,1,3, , , ,2, , , , ,1, , ,1,2, , ,2, , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,2, , , , ,1,3,4,5,6,8,12,10,16, , , , ,1,4, , , , , , , , ,4, , , , , ,4, , , ,9, , , , , , , , , , ,16,4,16, , , ,10, , , ,10, , , ,9, , , ,9, , , ,7, , , , ,9, , , ,9, , , , , ,9, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,1,2,3,4,6, , , ,4, , , , , ,9,8,6,5, ,7, , ,5,5,5,4, ,7, , ,1,3,4,6, , ,12, ,2, ,14, ,2, , , , , , ,50, ,120,500, ,120, , , ,2, ,1,1, ,1, , , ,77,1,1.29761447,1.11111111
67,2,1,20,2,4,B2,1,6,3,2,1,1,2,3,5, ,1,2,3,4,5,1, , ,1,2, , ,3, , , ,1, , ,2, , , , , , , ,1,2, , , , ,1,2,4, , , , ,22, , , , ,7,5,3,6,1,8,13,12,8, , , , ,1,2,7,8,9, , , , , ,1,8, , , , ,8,7, , , , , , ,8, , , , , , ,1,8,16, , , ,1,6, , ,1,6, , ,6,7, , ,6, , , ,1, , , , ,1,6, , ,1,6, , , , ,6, , , ,1,6, , ,1,6, , ,6, , , , , ,1,6, , ,1,1, , , , ,1,3,4,5,6,7, , ,4,5,7, , , ,9, ,6,6,8,6,5, ,9, ,6,6,6,6,3, ,4,7, , , , , , , , ,5, , , ,52, , , , , , , ,1000, , ,380, , , , , ,2, , ,3, , ,78,1,.89314552,.93333333
68,2,1,26,3,6,C2,2,32,2,3,1,2,3,4, , ,2, , , , , , , ,1, , , ,1,2, , ,1,2, , , , , , , , , ,1,8, , , , ,1,1,4, , , , ,5,12, , , ,7,10,13,9,8,4,6,12,16, , , , ,1,4,7, , , , , , , ,4, , , , , ,16, , , ,10, , , , , , , , , , , ,16,16, , , ,8, , , ,10, , , ,10, , , ,8, , , ,7, , , , ,9, , , ,9, , , , , ,7,9, , ,7, , , ,9, , , ,9, , , , , ,9, , , ,1,1,14, , , ,3,5,6,7, , , , ,5,7, , , , , , ,7, ,8,9,10, , , ,8, ,4,6,6, ,3,5,6,7, , , , ,14, , ,98,79, ,71, , , , , , ,120, ,1000,60,1000, , , , ,1, ,2,1,1, , ,79,1,1.29761447,1.11111111
69,2,1,42,4,7,D,1,25,3,2,1,2,3,4, , ,2, , , , , , , ,1,2, , ,1, , , ,1, , , , , , , , , , ,1,2, , , , ,1,1,5, , , , ,2,3,6, , ,11,1,6,9,13,3,8,10,16, , , , ,9, , , , , , , , , ,9, , , , , ,9, , , , , , , , ,11, , , , , ,14,9,16, , , ,7, , , ,7, , , ,9, , , ,7, , , ,7, , , , ,7, , , ,7, , , , , ,7, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,3,5,7,8, , , , ,5,7, , , , , , , , ,5, ,7,7, , ,5, ,4, ,5,5,3,5,7,8, , , , ,10, , ,45, , ,52, , ,14, , , ,120, ,1000, ,380,120, , , ,1, ,1, ,1,2, ,80,1,.84059992,.86363636
70,2,1,49,5,5,C1,1,11,2,2,1,2,3,5, , ,2,3,5, , , , , ,1, , , ,3, , , , , , ,2, , , , , , , ,1,8, , , , ,1,1,4, , , , ,2,7, , , ,1,5,9,12,4,8,13,6,1, , , , ,1,4, , , , , , , , ,1,4, , , , ,4,9, , ,7, , , , , , , , , , ,1,1,16, , , ,1, , , ,1, , , ,7, , , ,7, , , ,8, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,9, , , ,1, , , , , ,1, , , ,1,1, , , , ,4,5, , , , , , ,4,5, , , , , , , ,9,10, , , , , , ,5,6, , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,0, , , , , , , , ,2, , , , ,81,1,1.29761447,1.11111111
71,2,1,30,3,7,D,1,10,3,2,1,3, , , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,9, , , , ,12,9,11,10,1,6,2,13,16, , , , ,3,12, , , , , , , , ,3,12, , , , ,3, , ,10, , , , , , , , ,10, , ,12,3,16, , , ,3, , , ,3, , , ,3, , , ,3, , , ,9, , , , ,3, , , ,9, , , , , ,3, , , ,3, , , ,3, , , ,3, , , , , ,3, , , ,2, , , , , ,5,7, , , , , , ,7, , , , , , , , , ,8, ,10, , , , , ,2, ,5, ,5, , , , , , , , , , ,2, , , , , , , , , , , ,120, , , , , , , , ,1, , , , ,82,1,.84059992,.86363636
72,2,1,53,5,1,A1,2,30,1,2,1,1,2,3, , ,1,3, , , ,2, , ,1, , , ,1,2,5, , , , , , , , , , , , ,2,3, , , , ,2,2,5, , , , ,3,15, , , ,1,6,7,9,2,3,12,11,10, , , , ,3,7,8,10,12, , , , , ,3,7,8,10,12, ,3, , ,10, , , ,10,10, ,10, ,9, , ,10,3,16, , , ,3,5, , ,3, , , ,3,6, , ,3,5,6, ,10, , , , ,3, , , ,5,6, , , , ,3,6, , ,3,5,6, ,3,5,6, ,3,5,6, , , ,6, , , ,2, , , , , ,3,5,7, , , , , ,5,7, , , , , , ,8, ,8, ,5, , , ,4, ,5, ,3, ,3,5,7, , , , , ,16, , ,50, , ,52, , , , , , ,120, ,1000, ,120, , , , ,1, ,1, ,1, , ,83,1,.71410697,.86666667
73,2,1,24,2,7,D,2,10,3,2,1,1,2,3,5, ,2, , , , ,1, , ,1, , , ,3, , , , , , ,2,5, , , , , , ,1,2, , , , ,1,2,4, , , , ,3,19, , , ,1,7,5,3,4,8,6,2,16, , , , ,1, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,9, , , ,5, , , ,9, , , ,9, , , ,8, , , , ,9, , , ,10, , , , , ,9, , , ,9, , , ,9, , , ,10, , , , , ,9, , , ,1,98, , , , ,1,4,5,7, , , , ,4,5,7, , , ,7, , ,8,8, ,7, ,6, , ,5,5, ,5, ,4,5,7, , , , , , , ,26,35, , ,52, , , , , , , ,1000,1000, ,380, , , , , ,1,1, ,1, , ,84,1,.84059992,.86363636
74,2,1,45,4,7,D,2,1,1,3,1,1,2,3, , ,2, , , , ,1, , ,1,2, , ,1,2, , , , , , , , , , , , , ,1,5, , , , ,5,1,5, , , , ,21, , , , ,8,7,10,11,1,2,9,13,1, , , , ,1,2,4,12, , , , , , ,1,2, , , , ,1,10,7, , , , , , , , , , , , ,8,1,16, , , ,1, , , ,1, , , ,1, , , ,1,6, , ,1,2, , , ,1,2, , ,1, , , , , ,6, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,1,2,5,7, , , , ,5,7, , , , ,5,6, , ,6, ,6, ,4,4, , ,5, ,4, ,2,5,7,8, , , ,22, , , ,41, , ,63, , ,98, , ,120, , ,500, ,200,120, , ,2, , ,1, ,1,4, ,85,1,.77289029,.93333333
75,2,1,26,3,2,A2,1,1,1,2,1,1,3, , , ,2, , , , ,1, , ,1,2,10, ,7, , , , , , , , , , , , , , ,1,3, , , , ,3,3,5, , , , ,2,6, , , ,5,9,7,12,13,1,4,6,4,19, , , ,1,4,19, , , , , , , ,1,4,19, , , ,4,9, , ,11, , , , , , , , , ,10,14,4,16, , , ,9, , , ,9, , , ,7, , , ,7, , , ,9, , , , ,7, , , ,9, , , , , ,9, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,1,1, , , , ,5,7, , , , , , ,5, , , , , , , , , ,6, ,7, , , , , ,3, ,3, ,5,7, , , , , , , , , ,25, , ,54, , , , , , , , ,900, ,1000, , , , , , ,1, ,1, , ,86,1,.71410697,.86666667
76,2,1,45,4,7,D,2,17,3,2,1,2,3, , , ,2,3, , , , , , ,1, , , ,1,2, , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,3,5, , , ,7,1,11,9,5,6,3,4,1, , , , ,1,10, , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,10,1,16, , , ,1, , , ,1, , , ,9, , , ,1, , , ,1, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,1, , , ,1,7, , , , ,1, , , ,1,1,10,11, , ,2,4, , , , , , ,2,4, , , , , ,8, ,5, , , , , ,3, ,3, , , , ,2,4, , , , , ,9, , ,2, , , , , , , , , ,500, ,120, , , , , , ,1, ,6, , , , , ,87,1,.84059992,.86363636
77,2,1,28,3,7,D,2,1,1,2,1,2,3,4, , ,2,4, , , , , , ,1,2, , ,2,3, , ,1, , , , , , , , , , ,1,2, , , , ,1,1,4, , , , ,20, , , , ,2,7,9,11,1,3,4,12,1, , , , ,1,11, , , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,11,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,1,4,7, , , , , ,4,7, , , , ,4, , ,5, , ,6, ,4, , ,2, , ,4, ,4, , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,2, , , , , ,88,1,.77289029,.93333333
78,2,1,32,3,7,D,2,32,2,2,1,3, , , , ,1, , , , ,1,2, , , , , ,7, , , , , , , , , , , , , , ,3, , , , , ,4,3,4, , , , ,6, , , , ,2,5,7,9,3,8,13,6,4, , , , ,4,7,8,12, , , , , , ,4,8, , , , ,4, , , ,9, , , ,7, , , , , , ,8,4,16, , , ,8, , , ,6, , , ,8, , , ,8, , , ,8, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,2, , , , , ,5,6, , , , , , ,5, , , , , , , , , ,8,8, , , , , , ,3,7, , ,5,6, , , , , , , , , ,25,14, , , , , , , , , , ,900,120, , , , , , , ,1,2, , , ,89,1,.94332407,.95454545
79,2,1,38,5,3,B1,2,14,1,3,1,1,2,3,4,5,1,2, , , ,2, , ,1, , , ,2, , , ,1, , ,2, , , , , , , ,2, , , , , ,2,2,4, , , , ,10,12, , , ,7,12,1,5,13,2,6,4,9,1, , , ,1,7,20,9, , , , , , ,1,20, , , , ,1,11, , , , , , , , , , , , ,10,17,1,76,6, , ,1,5, , ,1,5, , ,1,5, , ,1, , , ,1, , , , ,1,5, , ,1, , , , , ,1,5, , ,1,5, , ,1,5, , ,1,5, , , , ,1,5, , ,1,1, , , , ,1,2,4,5,7,8, , ,4,5,7, , , ,5,7, ,6,6, ,8,8,4,5, ,3,3, ,4,5,1,2,5, , , ,2,2, , , ,19, , , , , , , ,100,1000, , ,900, , , , ,1,1, , ,1, , , , ,90,1,.84784707,1.05555556
80,2,1,40,4,7,D,1,1,1,2,1,2,3, , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,3,9, , , ,2,6,9,7,1,5,3,13,1, , , , ,1,8, , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,4,5,7, , , , , ,4,5, , , , , , , ,6,7, ,6, , , , ,4,5, ,2, ,4, , , , , , , , , ,23, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , , ,91,1,.77289029,.93333333
81,2,1,39,4,5,C1,2,35,3,2,1,2,3,5, , ,2, , , , , , , ,1,2, , ,1,2, , , , , ,6, , , , , , , ,11, , , , , ,7,7,4, , , , ,2,5, , , ,1,5,7,9,13,4,2,6,4,18, , , ,4,10, , , , , , , , ,4, , , , , ,4, , , ,11, , , , , , , , , , ,16,4,16, , , ,10, , , ,2, , , ,9, , , ,7, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,7, , , ,7, , , ,10, , , , , ,9, , , ,2, , , , , ,1,3,5, , , , , ,1,5, , , , ,5, ,6, ,8, , , ,3, ,6, ,5, , , ,5, , , , , , , , , , ,25, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,92,1,1.09246215,1.03703704
82,2,1,62,6,5,C1,1,1,1,2,1,1,2,3,5, ,1,5, , , ,1, , ,2, , , ,7, , , , , , ,6, , , , , , , ,1, , , , , ,1,1,4, , , , ,1,2,6, , ,5,7,8,3,11,13,12,4,19, , , , ,19, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,9, , , ,9, , , ,8, , , ,8, , , ,9, , , , ,8, , , ,8, , , , , ,9, , , ,9, , , ,8, , , ,9, , , , , ,8, , , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,7, , , , , , , ,5, ,7, , , , , , , , , , , , , ,54, , , , , , , , , , ,1000, , , , , , , , ,1, , ,93,1,1.18347052,1.23076923
83,2,1,25,3,7,D,1,12,3,2,1,1,2,3,5, ,2,3, , , ,1, , ,1,2, , ,5, , , , , , ,6, , , , , , , ,1, , , , , ,1,1,4, , , , ,2,3, , , ,1,2,7,9,8,13,6,10,16, , , , ,16, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,10, , , ,9, , , ,10, , , ,10, , , ,10, , , , ,10, , , ,10, , , , , ,10, , , ,10, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,4,5,7, , , , , ,4,5,7, , , , , , ,5,4, ,8, , , , ,3,4, ,4, ,5,7, , , , , , , , , ,2, , ,69, , , , , , , , ,0, ,1000, , , , , , ,2, ,2, , ,94,1,.84059992,.86363636
84,2,1,55,5,7,D,1,6,3,2,1,3, , , , ,2, , , , , , , ,1, , , ,2, , , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,2, , , , ,5,9,12,3,1,13,10,4,16, , , , ,1,4,12, , , , , , , ,1,12, , , , ,14,1, , , , , , , , , , ,1, , ,1,16,16, , , ,9, , , ,1,7, , ,1, , , ,10, , , ,10, , , , ,1, , , ,9, , , , , ,1, , , ,8, , , ,1, , , ,1, , , , , ,9, , , ,1,98, , , , ,4, , , , , , , ,4, , , , , , , , ,7, , , , , , , ,5, , , , ,4, , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,1 botella, , , , , ,95,1,.84059992,.86363636
85,2,1,28,3,7,D,2,3,2,2,1,3, , , , ,3, , , , , , , , , , , ,1,3, , , , , , , , , , , , , ,1,2, , , , ,1,1,4, , , , ,2, , , , ,5,9,1,4,6,12,8,13,4,8,17, , ,2,4,7,8,12,17, , , , ,4,17, , , , ,4, , , ,10, , , , , , , , , ,9,17,4,7,1, , ,6,7, , ,6, , , ,6,7, , ,6,7, , ,7, , , , ,6,7, , ,6, , , , , ,6,7, , ,7, , , ,6,7, , ,6,7, , , , ,6, , , ,2, , , , , ,1,4,5, , , , , ,4,5, , , , , , , ,5,5, , , ,2, , ,3,3, , , ,5, , , , , , , , , , ,25, , , , , , , , , , , ,0, , , , , , , , ,1, , , , ,96,1,.94332407,.95454545
86,2,1,35,3,4,B2,2,32,2,3,1,1,3, , , ,5, , , , ,1,2, , , , , ,2,9, , , , , ,1,2, , , , , , ,1,2, , , , ,2,2,5, , , , ,2,5,18, , ,2,9,12,11,4,6,13,8,1, , , , ,1,12, , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,12,1,16, , , ,1,2,5, ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,11,1, , , ,3,5, , , , , , ,5, , , , , , , ,8, ,5, , , , , ,5, ,2, , , ,3,5,7, , , , , ,2, , ,2, , ,61, , , , , , ,0, ,0, ,0, , , , ,1, ,2, ,1, , ,97,1,.81815058,.71428571
87,2,1,26,3,5,C1,2,18,2,1,1,1,2,3, , ,2, , , , ,3, , ,1, , , ,2,15, , , , , , , , , , , , , ,2, , , , , ,2,2,5, , , , ,6,10, , , ,9,7,3,11,13,6,4,2,1,9,10, , ,1,2,4,7,12,10,9, , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,2,1,16, , , ,1, , , ,1, , , ,1, , , ,5, , , ,5, , , , ,1, , , ,5, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1,8, , , ,1,4,5,7,8, , , ,5,7, , , , ,6, , ,6,6, ,6,7,6, , ,5,3, ,4,7,4,5,7,8, , , , , , ,2,2, , ,2, , ,77, , , , ,120,1000, ,500,120, , , , ,1,1, ,1,1, ,99,1,1.29761447,1.11111111
88,2,1,42,4,7,D,1,11,5,1,1,2,3, , , ,2,3, , , , , , ,1,2,6, ,1,3, , , , , , , , , , , , , ,2,5, , , , ,2,2,4, , , , ,5, , , , ,9,4,10,2,5,11,13,3,16, , , , ,1, , , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,98, , , , ,4, , , , , , , ,4, , , , , , , , ,10, , , , , , , ,5, , , , ,4, , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,2 botellas, , , , , ,100,1,.94332407,.95454545
